Thu Dec 14 11:24:07 2017 for USER 2 and pattern [2, 3, 8] the observed label,value are 1 1Thu Dec 14 11:24:24 2017 for USER 2 and pattern [1, 11, 4] the observed label,value are 3 0Thu Dec 14 11:25:14 2017 for USER 2 and pattern [7, 8, 8] the observed label,value are 2 0Thu Dec 14 12:11:04 2017 for USER 1 and pattern [7, 7, 10] the observed label,value are 1 0 
Thu Dec 14 12:13:08 2017 for USER 1 and pattern [4, 4, 4] the observed label,value are 2 2 
Thu Dec 14 15:00:53 2017 for USER 5 and pattern [2, 6, 11] the observed label,value are 1 1 
Thu Dec 14 15:01:23 2017 for USER 5 and pattern [8, 10, 11] the observed label,value are 2 4 
Thu Dec 14 15:01:35 2017 for USER 5 and pattern [3, 10, 7] the observed label,value are 2 3 
Thu Dec 14 15:01:51 2017 for USER 5 and pattern [1, 5, 8] the observed label,value are 2 2 
Thu Dec 14 15:02:04 2017 for USER 5 and pattern [0, 7, 6] the observed label,value are 2 3 
Thu Dec 14 15:08:22 2017 for USER 6 and pattern [2, 10, 7] the observed label,value are 0 3 
Thu Dec 14 15:08:38 2017 for USER 6 and pattern [3, 5, 5] the observed label,value are 0 3 
Thu Dec 14 15:08:50 2017 for USER 6 and pattern [5, 7, 9] the observed label,value are 2 4 
Thu Dec 14 15:09:03 2017 for USER 6 and pattern [7, 11, 9] the observed label,value are 2 3 
Thu Dec 14 15:09:17 2017 for USER 6 and pattern [1, 4, 3] the observed label,value are 1 3 
Thu Dec 14 15:09:33 2017 for USER 6 and pattern [3, 5, 5] the observed label,value are 0 2 
Thu Dec 14 15:09:46 2017 for USER 6 and pattern [5, 11, 11] the observed label,value are 2 3 
Thu Dec 14 15:09:58 2017 for USER 6 and pattern [3, 11, 8] the observed label,value are 2 4 
Thu Dec 14 15:10:15 2017 for USER 6 and pattern [4, 10, 9] the observed label,value are 1 1 
Thu Dec 14 15:10:26 2017 for USER 6 and pattern [3, 10, 7] the observed label,value are 2 3 
Thu Dec 14 15:10:37 2017 for USER 6 and pattern [3, 10, 9] the observed label,value are 1 2 
Thu Dec 14 15:10:47 2017 for USER 6 and pattern [5, 11, 11] the observed label,value are 1 1 
Thu Dec 14 15:11:05 2017 for USER 6 and pattern [1, 5, 8] the observed label,value are 2 3 
Thu Dec 14 15:11:21 2017 for USER 6 and pattern [5, 11, 11] the observed label,value are 1 1 
Thu Dec 14 15:11:33 2017 for USER 6 and pattern [5, 9, 8] the observed label,value are 1 1 
Thu Dec 14 15:11:44 2017 for USER 6 and pattern [8, 10, 11] the observed label,value are 1 1 
Thu Dec 14 15:12:02 2017 for USER 6 and pattern [7, 11, 9] the observed label,value are 2 2 
Thu Dec 14 15:12:10 2017 for USER 6 and pattern [2, 9, 8] the observed label,value are 1 3 
Thu Dec 14 15:18:45 2017 for USER 7 and pattern [2, 5, 10] the observed label,value are 2 2 
Thu Dec 14 15:18:57 2017 for USER 7 and pattern [8, 10, 11] the observed label,value are 2 2 
Thu Dec 14 15:19:09 2017 for USER 7 and pattern [3, 10, 9] the observed label,value are 1 3 
Thu Dec 14 15:19:39 2017 for USER 7 and pattern [3, 10, 7] the observed label,value are 1 3 
Thu Dec 14 15:19:57 2017 for USER 7 and pattern [0, 6, 10] the observed label,value are 2 3 
Thu Dec 14 15:20:25 2017 for USER 7 and pattern [5, 11, 11] the observed label,value are 2 3 
Thu Dec 14 15:20:37 2017 for USER 7 and pattern [2, 9, 8] the observed label,value are 1 3 
Thu Dec 14 15:20:51 2017 for USER 7 and pattern [2, 5, 10] the observed label,value are 2 3 
Thu Dec 14 15:21:07 2017 for USER 7 and pattern [1, 8, 4] the observed label,value are 3 2 
Thu Dec 14 15:27:41 2017 for USER 8 and pattern [1, 4, 3] the observed label,value are 1 0 
Thu Dec 14 15:27:57 2017 for USER 8 and pattern [2, 6, 11] the observed label,value are 2 3 
Thu Dec 14 15:28:22 2017 for USER 8 and pattern [2, 5, 10] the observed label,value are 2 1 
Thu Dec 14 15:28:40 2017 for USER 8 and pattern [0, 6, 10] the observed label,value are 0 3 
Thu Dec 14 15:28:50 2017 for USER 8 and pattern [3, 11, 8] the observed label,value are 0 2 
Thu Dec 14 15:29:19 2017 for USER 8 and pattern [5, 7, 9] the observed label,value are 1 2 
Thu Dec 14 15:29:41 2017 for USER 8 and pattern [1, 4, 3] the observed label,value are 0 2 
Thu Dec 14 15:29:59 2017 for USER 8 and pattern [1, 4, 3] the observed label,value are 3 2 
Thu Dec 14 15:30:22 2017 for USER 8 and pattern [5, 9, 8] the observed label,value are 0 1 
Thu Dec 14 15:30:41 2017 for USER 8 and pattern [1, 4, 3] the observed label,value are 1 2 
Thu Dec 14 15:37:40 2017 for USER 9 and pattern [4, 10, 9] the observed label,value are 1 1 
Thu Dec 14 15:37:50 2017 for USER 9 and pattern [3, 10, 7] the observed label,value are 0 2 
Thu Dec 14 15:38:03 2017 for USER 9 and pattern [2, 6, 11] the observed label,value are 2 2 
Thu Dec 14 15:38:18 2017 for USER 9 and pattern [1, 8, 4] the observed label,value are 0 2 
Thu Dec 14 15:38:39 2017 for USER 9 and pattern [5, 9, 8] the observed label,value are 1 1 
Thu Dec 14 15:38:54 2017 for USER 9 and pattern [0, 7, 6] the observed label,value are 1 2 
Thu Dec 14 15:39:07 2017 for USER 9 and pattern [4, 8, 6] the observed label,value are 3 2 
Thu Dec 14 15:39:23 2017 for USER 9 and pattern [1, 4, 3] the observed label,value are 0 2 
Thu Dec 14 15:39:39 2017 for USER 9 and pattern [3, 10, 9] the observed label,value are 3 2 
Thu Dec 14 15:40:00 2017 for USER 9 and pattern [7, 11, 9] the observed label,value are 0 1 
Thu Dec 14 15:40:10 2017 for USER 9 and pattern [8, 10, 11] the observed label,value are 0 3 
Thu Dec 14 15:40:18 2017 for USER 9 and pattern [2, 10, 7] the observed label,value are 2 1 
Thu Dec 14 15:40:36 2017 for USER 9 and pattern [5, 7, 9] the observed label,value are 2 1 
Thu Dec 14 15:40:46 2017 for USER 9 and pattern [1, 5, 8] the observed label,value are 2 2 
Thu Dec 14 15:41:00 2017 for USER 9 and pattern [2, 9, 8] the observed label,value are 3 2 
Thu Dec 14 15:41:09 2017 for USER 9 and pattern [4, 8, 6] the observed label,value are 0 1 
Thu Dec 14 15:41:21 2017 for USER 9 and pattern [2, 6, 11] the observed label,value are 1 1 
Thu Dec 14 16:24:04 2017 for USER 10 and pattern [2, 6, 11] the observed label,value are 2 2 
Thu Dec 14 16:24:21 2017 for USER 10 and pattern [5, 9, 8] the observed label,value are 2 3 
Thu Dec 14 16:24:39 2017 for USER 10 and pattern [3, 11, 8] the observed label,value are 0 3 
Thu Dec 14 16:25:07 2017 for USER 10 and pattern [4, 8, 6] the observed label,value are 1 2 
Thu Dec 14 16:25:24 2017 for USER 10 and pattern [2, 9, 8] the observed label,value are 1 3 
Thu Dec 14 16:25:50 2017 for USER 10 and pattern [2, 6, 11] the observed label,value are 1 2 
Thu Dec 14 16:26:07 2017 for USER 10 and pattern [1, 5, 8] the observed label,value are 2 3 
Thu Dec 14 16:26:37 2017 for USER 10 and pattern [5, 7, 9] the observed label,value are 0 1 
Thu Dec 14 16:26:51 2017 for USER 10 and pattern [2, 5, 10] the observed label,value are 2 3 
Thu Dec 14 16:27:07 2017 for USER 10 and pattern [5, 9, 8] the observed label,value are 2 3 
Thu Dec 14 16:27:37 2017 for USER 10 and pattern [4, 8, 6] the observed label,value are 1 2 
Thu Dec 14 16:28:01 2017 for USER 10 and pattern [2, 6, 11] the observed label,value are 1 3 
Thu Dec 14 16:28:26 2017 for USER 10 and pattern [2, 6, 11] the observed label,value are 1 2 
Thu Dec 14 16:29:01 2017 for USER 10 and pattern [3, 10, 7] the observed label,value are 0 1 
Thu Dec 14 16:29:23 2017 for USER 10 and pattern [2, 9, 8] the observed label,value are 0 2 
Thu Dec 14 16:29:46 2017 for USER 10 and pattern [3, 10, 7] the observed label,value are 0 3 
Thu Dec 14 16:30:02 2017 for USER 10 and pattern [2, 5, 10] the observed label,value are 2 3 
Thu Dec 14 16:30:42 2017 for USER 10 and pattern [7, 11, 9] the observed label,value are 0 1 
Thu Dec 14 16:31:05 2017 for USER 10 and pattern [0, 6, 10] the observed label,value are 1 4 
Thu Dec 14 16:31:41 2017 for USER 10 and pattern [4, 8, 6] the observed label,value are 2 2 
Thu Dec 14 16:32:18 2017 for USER 10 and pattern [1, 4, 3] the observed label,value are 1 4 
Thu Dec 14 16:32:42 2017 for USER 10 and pattern [2, 5, 10] the observed label,value are 2 3 
Thu Dec 14 16:33:20 2017 for USER 10 and pattern [3, 5, 5] the observed label,value are 2 2 
Thu Dec 14 16:33:40 2017 for USER 10 and pattern [3, 5, 5] the observed label,value are 2 2 
Thu Dec 14 16:34:04 2017 for USER 10 and pattern [3, 11, 8] the observed label,value are 0 1 
Thu Dec 14 16:35:10 2017 for USER 10 and pattern [5, 9, 8] the observed label,value are 0 2 
Thu Dec 14 16:35:36 2017 for USER 10 and pattern [2, 5, 10] the observed label,value are 2 4 
Thu Dec 14 16:36:03 2017 for USER 10 and pattern [2, 9, 8] the observed label,value are 3 1 
Thu Dec 14 16:36:20 2017 for USER 10 and pattern [3, 10, 7] the observed label,value are 0 3 
Thu Dec 14 16:36:52 2017 for USER 10 and pattern [2, 9, 8] the observed label,value are 1 1 
Thu Dec 14 16:37:26 2017 for USER 10 and pattern [2, 6, 11] the observed label,value are 2 4 
Thu Dec 14 16:37:51 2017 for USER 10 and pattern [5, 7, 9] the observed label,value are 1 2 
Thu Dec 14 16:38:14 2017 for USER 10 and pattern [5, 7, 9] the observed label,value are 2 2 
Thu Dec 14 16:38:53 2017 for USER 10 and pattern [2, 9, 8] the observed label,value are 1 4 
Thu Dec 14 16:39:19 2017 for USER 10 and pattern [5, 11, 11] the observed label,value are 2 3 
Thu Dec 14 16:40:02 2017 for USER 10 and pattern [3, 10, 7] the observed label,value are 0 2 
Thu Dec 14 16:40:28 2017 for USER 10 and pattern [1, 4, 3] the observed label,value are 1 3 
Thu Dec 14 16:41:04 2017 for USER 10 and pattern [5, 7, 9] the observed label,value are 2 4 
Thu Dec 14 16:41:23 2017 for USER 10 and pattern [4, 8, 6] the observed label,value are 2 4 
Thu Dec 14 16:41:42 2017 for USER 10 and pattern [2, 9, 8] the observed label,value are 1 3 
Thu Dec 14 16:42:13 2017 for USER 10 and pattern [7, 11, 9] the observed label,value are 0 2 
Thu Dec 14 17:16:47 2017 for USER 11 and pattern [4, 10, 9] the observed label,value are 2 3 
Thu Dec 14 17:17:03 2017 for USER 11 and pattern [8, 10, 11] the observed label,value are 0 3 
Thu Dec 14 17:17:20 2017 for USER 11 and pattern [2, 10, 7] the observed label,value are 0 4 
Thu Dec 14 17:17:43 2017 for USER 11 and pattern [1, 4, 3] the observed label,value are 2 2 
Thu Dec 14 17:17:54 2017 for USER 11 and pattern [5, 11, 11] the observed label,value are 0 3 
Thu Dec 14 17:18:13 2017 for USER 11 and pattern [2, 10, 7] the observed label,value are 2 2 
Thu Dec 14 17:18:33 2017 for USER 11 and pattern [3, 10, 7] the observed label,value are 0 3 
Thu Dec 14 17:18:54 2017 for USER 11 and pattern [3, 10, 7] the observed label,value are 2 2 
Thu Dec 14 17:19:28 2017 for USER 11 and pattern [4, 10, 9] the observed label,value are 1 1 
Thu Dec 14 17:19:50 2017 for USER 11 and pattern [1, 5, 8] the observed label,value are 2 3 
Thu Dec 14 17:20:17 2017 for USER 11 and pattern [5, 9, 8] the observed label,value are 1 1 
Thu Dec 14 17:20:40 2017 for USER 11 and pattern [0, 6, 10] the observed label,value are 2 2 
Thu Dec 14 17:20:54 2017 for USER 11 and pattern [1, 8, 4] the observed label,value are 0 2 
Thu Dec 14 17:21:11 2017 for USER 11 and pattern [5, 11, 11] the observed label,value are 0 2 
Thu Dec 14 17:21:36 2017 for USER 11 and pattern [2, 5, 10] the observed label,value are 2 2 
Thu Dec 14 17:22:03 2017 for USER 11 and pattern [2, 6, 11] the observed label,value are 3 2 
Thu Dec 14 17:22:27 2017 for USER 11 and pattern [3, 11, 8] the observed label,value are 0 2 
Thu Dec 14 17:22:47 2017 for USER 11 and pattern [3, 5, 5] the observed label,value are 0 2 
Thu Dec 14 17:23:02 2017 for USER 11 and pattern [8, 10, 11] the observed label,value are 2 2 
Thu Dec 14 17:23:14 2017 for USER 11 and pattern [2, 5, 10] the observed label,value are 0 3 
Thu Dec 14 17:23:38 2017 for USER 11 and pattern [5, 9, 8] the observed label,value are 1 1 
Thu Dec 14 17:23:58 2017 for USER 11 and pattern [4, 8, 6] the observed label,value are 1 2 
Thu Dec 14 17:24:10 2017 for USER 11 and pattern [3, 11, 8] the observed label,value are 0 4 
Thu Dec 14 17:24:37 2017 for USER 11 and pattern [0, 6, 10] the observed label,value are 1 2 
Thu Dec 14 17:25:20 2017 for USER 11 and pattern [3, 10, 9] the observed label,value are 1 1 
Fri Dec 15 01:20:30 2017 for USER -10 and pattern [1, 8, 4] the observed label,value are 3 0 
Fri Dec 15 01:20:41 2017 for USER -10 and pattern [3, 5, 5] the observed label,value are 3 0 
Fri Dec 15 01:22:39 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 0 0 
Fri Dec 15 01:22:50 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 0 0 
Fri Dec 15 01:22:58 2017 for USER -10 and pattern [4, 8, 6] the observed label,value are 0 3 
Fri Dec 15 01:23:02 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 0 3 
Fri Dec 15 01:23:14 2017 for USER -10 and pattern [7, 11, 9] the observed label,value are 0 3 
Fri Dec 15 01:23:29 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 0 3 
Fri Dec 15 01:23:35 2017 for USER -10 and pattern [3, 10, 9] the observed label,value are 0 3 
Fri Dec 15 01:23:59 2017 for USER -10 and pattern [1, 5, 8] the observed label,value are 0 3 
Fri Dec 15 01:24:12 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 1 3 
Fri Dec 15 01:24:18 2017 for USER -10 and pattern [2, 6, 11] the observed label,value are 1 3 
Fri Dec 15 01:26:39 2017 for USER -10 and pattern [5, 7, 9] the observed label,value are 0 3 
Fri Dec 15 01:26:45 2017 for USER -10 and pattern [1, 4, 3] the observed label,value are 0 3 
Fri Dec 15 01:27:09 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 0 3 
Fri Dec 15 01:27:23 2017 for USER -10 and pattern [5, 7, 9] the observed label,value are 0 3 
Fri Dec 15 01:27:28 2017 for USER -10 and pattern [5, 7, 9] the observed label,value are 0 3 
Fri Dec 15 01:27:35 2017 for USER -10 and pattern [5, 7, 9] the observed label,value are 0 3 
Fri Dec 15 01:27:42 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 2 3 
Fri Dec 15 01:27:59 2017 for USER -10 and pattern [5, 7, 9] the observed label,value are 2 3 
Fri Dec 15 01:28:06 2017 for USER -10 and pattern [2, 9, 8] the observed label,value are 1 3 
Fri Dec 15 01:28:12 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 3 3 
Fri Dec 15 01:28:21 2017 for USER -10 and pattern [5, 7, 9] the observed label,value are 3 0 
Fri Dec 15 01:29:51 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 1 4 
Fri Dec 15 01:35:34 2017 for USER -10 and pattern [1, 8, 4] the observed label,value are 2 1 
Fri Dec 15 01:51:04 2017 for USER -10 and pattern [2, 9, 8] the observed label,value are 3 3 
Fri Dec 15 01:51:57 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 2 0 
Fri Dec 15 02:06:32 2017 for USER -10 and pattern [4, 8, 6] the observed label,value are 2 1 
Fri Dec 15 02:06:36 2017 for USER -10 and pattern [1, 5, 8] the observed label,value are 2 1 
Fri Dec 15 02:06:42 2017 for USER -10 and pattern [3, 5, 5] the observed label,value are 2 1 
Fri Dec 15 02:06:50 2017 for USER -10 and pattern [1, 8, 4] the observed label,value are 0 0 
Fri Dec 15 02:06:57 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 0 0 
Fri Dec 15 02:07:02 2017 for USER -10 and pattern [5, 7, 9] the observed label,value are 0 2 
Fri Dec 15 02:07:44 2017 for USER -10 and pattern [0, 7, 6] the observed label,value are 0 3 
Fri Dec 15 02:07:55 2017 for USER -10 and pattern [1, 4, 3] the observed label,value are 0 3 
Fri Dec 15 02:11:08 2017 for USER -10 and pattern [4, 8, 6] the observed label,value are 0 3 
Fri Dec 15 02:11:46 2017 for USER -10 and pattern [2, 6, 11] the observed label,value are 1 3 
Fri Dec 15 02:23:28 2017 for USER -10 and pattern [1, 5, 8] the observed label,value are 2 4 
Fri Dec 15 02:23:34 2017 for USER -10 and pattern [5, 7, 9] the observed label,value are 1 2 
Fri Dec 15 09:59:58 2017 for USER -10 and pattern [5, 7, 9] the observed label,value are 3 0 
Fri Dec 15 10:00:13 2017 for USER -10 and pattern [7, 11, 9] the observed label,value are 2 1 
Fri Dec 15 10:01:49 2017 for USER 11 and pattern [1, 8, 4] the observed label,value are 0 2 
Fri Dec 15 10:02:10 2017 for USER 11 and pattern [1, 4, 3] the observed label,value are 2 2 
Fri Dec 15 10:02:34 2017 for USER 11 and pattern [2, 9, 8] the observed label,value are 1 3 
Fri Dec 15 10:02:54 2017 for USER 11 and pattern [2, 9, 8] the observed label,value are 1 2 
Fri Dec 15 10:03:11 2017 for USER 11 and pattern [3, 5, 5] the observed label,value are 0 2 
Fri Dec 15 10:03:54 2017 for USER 11 and pattern [3, 10, 9] the observed label,value are 0 2 
Fri Dec 15 10:04:20 2017 for USER 11 and pattern [0, 7, 6] the observed label,value are 1 1 
Fri Dec 15 10:04:36 2017 for USER 11 and pattern [0, 7, 6] the observed label,value are 2 1 
Fri Dec 15 10:04:56 2017 for USER 11 and pattern [3, 3, 11] the observed label,value are 0 3 
Fri Dec 15 10:05:36 2017 for USER 11 and pattern [3, 3, 4] the observed label,value are 2 2 
Fri Dec 15 10:06:05 2017 for USER 11 and pattern [5, 10, 7] the observed label,value are 0 2 
Fri Dec 15 10:06:27 2017 for USER 11 and pattern [3, 9, 8] the observed label,value are 1 1 
Fri Dec 15 10:06:51 2017 for USER 11 and pattern [3, 8, 4] the observed label,value are 0 2 
Fri Dec 15 10:07:23 2017 for USER 11 and pattern [5, 5, 11] the observed label,value are 2 1 
Fri Dec 15 10:07:41 2017 for USER 11 and pattern [5, 5, 8] the observed label,value are 2 3 
